case_name,seed,run_id,run_summary_path,terminal_local_field_direction_intervention,terminal_local_field_rowspace_angle_clip_degrees,terminal_local_field_orthogonal_angle_clip_degrees,selected_epoch,val_accuracy,test_accuracy,gate_passing_epoch_count,selected_epoch_passes_gate,selector_fallback_used,val_transported_final_energy,val_report_output_mse,test_report_output_mse,val_supervised_transport_output_mse,test_supervised_transport_output_mse,val_delta_h_rms_total,val_delta_h_rms_rowspace,val_delta_h_rms_orthogonal,val_delta_h_rowspace_fraction,test_delta_h_rms_total,test_delta_h_rms_rowspace,test_delta_h_rms_orthogonal,test_delta_h_rowspace_fraction,runtime_proxy_seconds
split_threshold_orthogonal_strict,0,split_orth_s0,tf2_runs/tf2/split_orth_s0/summary.json,local_field_direction_angle_clip_keep_live_norm_split_threshold,45.0,20.0,53,0.7444444444444445,0.7666666666666667,24,1.0,0.0,0.32864937428616803,0.06876210172612987,0.0683559000416159,0.058971068589273076,0.05855559567210917,0.25885652993547276,0.15201409061398496,0.20951949633634934,0.5872522924257647,0.2571026887968934,0.1515406210124643,0.2076950475330332,0.589416710193096,17.049289700000372
split_threshold_orthogonal_strict,1,split_orth_s1,tf2_runs/tf2/split_orth_s1/summary.json,local_field_direction_angle_clip_keep_live_norm_split_threshold,45.0,20.0,56,0.7962962962962963,0.7925925925925926,26,1.0,0.0,0.2963966077913192,0.061464727087699074,0.061756556414337416,0.05078780688902218,0.051074223590070904,0.29028470884667545,0.17650851180728624,0.23045597724896663,0.6080530817781232,0.29001170051918973,0.1767701794344969,0.2299110482354598,0.6095277504943296,17.469390999991447
split_threshold_orthogonal_strict,2,split_orth_s2,tf2_runs/tf2/split_orth_s2/summary.json,local_field_direction_angle_clip_keep_live_norm_split_threshold,45.0,20.0,56,0.7518518518518519,0.7703703703703704,28,1.0,0.0,0.30870533620733975,0.06513706424995709,0.06486333724470819,0.05315721507670144,0.052842366795345964,0.2917351252538307,0.18236239211388006,0.22771328737992388,0.625095767796941,0.2938710385668363,0.18387942109371372,0.2292346959048559,0.6257146739959993,19.966076999997313
split_threshold_orthogonal_strict,3,split_orth_s3,tf2_runs/tf2/split_orth_s3/summary.json,local_field_direction_angle_clip_keep_live_norm_split_threshold,45.0,20.0,50,0.8407407407407408,0.8333333333333334,23,1.0,0.0,0.31409429413895434,0.0658426673960995,0.06537034274848272,0.05545034318578903,0.05508973385884303,0.2703075095448659,0.16077736142390142,0.2172942469784139,0.5947942833501466,0.2699072215795498,0.15854548510930974,0.2184335995497164,0.5874073475376856,19.902097000005597
split_threshold_orthogonal_strict,4,split_orth_s4,tf2_runs/tf2/split_orth_s4/summary.json,local_field_direction_angle_clip_keep_live_norm_split_threshold,45.0,20.0,60,0.8407407407407408,0.8555555555555555,27,1.0,0.0,0.2988895439594278,0.06353485628334485,0.06296118340368183,0.052915348916564964,0.052392115479025975,0.26073984109674353,0.15935513853512828,0.2063763662767739,0.6111652820866834,0.2594274090414573,0.15871819909388268,0.2052099262666361,0.6118019668018927,20.069370800003526
split_threshold_balanced_30_30,0,split_bal_s0,tf2_runs/tf2/split_bal_s0/summary.json,local_field_direction_angle_clip_keep_live_norm_split_threshold,30.0,30.0,53,0.7481481481481481,0.7851851851851852,24,1.0,0.0,0.3261533935359916,0.068033189898082,0.06758417480835362,0.058399269199035334,0.057945992174863625,0.2602701474784073,0.15282169810484392,0.21068003763238666,0.5871656799115711,0.2583151218276822,0.15221801331543364,0.2087016496991645,0.5892725607329168,20.210412699998415
split_threshold_balanced_30_30,1,split_bal_s1,tf2_runs/tf2/split_bal_s1/summary.json,local_field_direction_angle_clip_keep_live_norm_split_threshold,30.0,30.0,56,0.8,0.7962962962962963,26,1.0,0.0,0.29591805718193837,0.06125463222841075,0.06160316890680776,0.05063457439803959,0.05097464030020221,0.2912795308590762,0.17581024571713616,0.23223807310250344,0.603579129637485,0.2909944057213185,0.1761355651461632,0.23163334572497332,0.6052884924353009,19.99193319999904
split_threshold_balanced_30_30,2,split_bal_s2,tf2_runs/tf2/split_bal_s2/summary.json,local_field_direction_angle_clip_keep_live_norm_split_threshold,30.0,30.0,45,0.762962962962963,0.725925925925926,28,1.0,0.0,0.3311268273057263,0.06823356111807904,0.06809815073298475,0.05728830371271283,0.05704064767926053,0.29784203432778616,0.17867901862814758,0.23829327668777447,0.5999120272980164,0.2999377400556553,0.1800939237664039,0.23985167610862043,0.6004376899452077,19.99106560000655
split_threshold_balanced_30_30,3,split_bal_s3,tf2_runs/tf2/split_bal_s3/summary.json,local_field_direction_angle_clip_keep_live_norm_split_threshold,30.0,30.0,50,0.8407407407407408,0.8111111111111111,23,1.0,0.0,0.313208186171714,0.06550745406537627,0.06498739203389801,0.055240368821722646,0.0548287315597706,0.27092585070077907,0.16018353190733767,0.21849954847466335,0.5912449162492454,0.270419777436954,0.15797727696910333,0.2194767322302729,0.5841927630679097,20.151340500000515
split_threshold_balanced_30_30,4,split_bal_s4,tf2_runs/tf2/split_bal_s4/summary.json,local_field_direction_angle_clip_keep_live_norm_split_threshold,30.0,30.0,52,0.8296296296296296,0.8296296296296296,27,1.0,0.0,0.31509152247287253,0.06591373712215001,0.06534730768413934,0.055855678873045815,0.0553417574646607,0.2665018904389719,0.15790912625434744,0.21468107847021434,0.5925253512995554,0.26512009794023944,0.15739807569240405,0.21334130425252965,0.5936859442767822,20.068413599998166
