epoch,train_steps,pre_update_energy,post_update_energy,energy_delta,trace_saved,weight_norm_l1,weight_norm_l2,bias_norm_l1,bias_norm_l2,mse,baseline_mse
11,30,0.25937448777834227,0.25327914276460384,-0.006095345013738429,False,0.46887317919082827,0.40456973026827414,2.590569710480353e-19,4.735795089416683e-18,0.5273081262208636,0.484375
12,30,0.25327914276460384,0.2473722738101669,-0.005906868954436928,False,0.46876419612666326,0.40398906985038313,2.7035966194530974e-19,4.969982758673553e-18,0.5149512601573386,0.484375
13,30,0.2473722738101669,0.24164891779777273,-0.005723356012394182,False,0.4686992545020314,0.4038525327232339,2.9214618744918275e-19,5.282232984349378e-18,0.5030234458550785,0.484375
14,30,0.24164891779777273,0.23610423261722852,-0.005544685180544212,False,0.46867623476952214,0.40413901910884037,2.94588298380927e-19,5.620504062164855e-18,0.4915093281875694,0.484375
15,30,0.23610423261722852,0.23073349223884923,-0.005370740378379285,False,0.4686930807453986,0.40482678838146285,3.2225704061383677e-19,5.9067334357010286e-18,0.4803942534739378,0.484375
16,30,0.23073349223884923,0.22553208206223563,-0.005201410176613602,False,0.4687477989611014,0.40589366759416645,3.026247004210139e-19,6.140921104957897e-18,0.46966422513896267,0.484375
17,30,0.22553208206223563,0.220495494548604,-0.0050365875136316185,False,0.46883845796087514,0.4073172535118862,3.5430404289367654e-19,5.828670879282072e-18,0.459305862390618,0.484375
18,30,0.220495494548604,0.2156193251399313,-0.00487616940867272,False,0.46896318754856803,0.4090751035248697,3.786282312258993e-19,6.036837696399289e-18,0.4493063617446831,0.484375
19,30,0.2156193251399313,0.21089926846392992,-0.004720056676001366,False,0.4691201779866351,0.4111449117663444,4.353276454264541e-19,6.661338147750939e-18,0.439653461231843,0.484375
20,30,0.21089926846392992,0.20633111482026942,-0.004568153643660505,False,0.4693076791503564,0.4135046677554632,4.459667701335261e-19,6.7654215563095475e-18,0.4303354071286984,0.484375
21,30,0.20633111482026942,0.201910746940457,-0.004420367879812426,False,0.46952399964027713,0.4161327958603625,4.693304344310635e-19,6.973588373426764e-18,0.4213409230601627,0.484375
22,30,0.201910746940457,0.19763413701132868,-0.004276609929128317,False,0.46976750585585536,0.4190082747710729,4.121921105095454e-19,7.129713486264676e-18,0.41265918132681784,0.484375
23,30,0.19763413701132868,0.19349734395012827,-0.004136793061200406,False,0.47003662103329913,0.42211073694977697,4.091427029042367e-19,7.077671781985372e-18,0.40427977631689277,0.484375
24,30,0.19349734395012827,0.18949651091762357,-0.004000833032504703,False,0.4703298242505476,0.4254205486649549,4.156806203405029e-19,7.025630077706067e-18,0.39619269986859684,0.484375
25,30,0.18949651091762357,0.1856278630545721,-0.0038686478630514665,False,0.47064564940233505,0.428918871709374,4.56474140515764e-19,7.441963711940501e-18,0.3883883184545672,0.484375
26,30,0.1856278630545721,0.1818877054260652,-0.003740157628506907,False,0.47098268414824374,0.4325877082543513,5.030375862849599e-19,7.858297346174935e-18,0.3808573520661426,0.484375
27,30,0.1818877054260652,0.1782724211578021,-0.0036152842682631026,False,0.4713395688366185,0.43640993051712185,5.037027283854429e-19,7.962380754733543e-18,0.3735908546810589,0.484375
28,30,0.1782724211578021,0.17477846974814162,-0.0034939514096604674,False,0.4717149954071727,0.4403692970323805,4.874980674548381e-19,8.06646416329215e-18,0.366580196203935,0.484375
29,30,0.17477846974814162,0.17140238553980416,-0.00337608420833746,False,0.4721077062750653,0.4444504573432943,4.932095696028605e-19,8.274630980409368e-18,0.3598170457745939,0.484375
30,30,0.17140238553980416,0.16814077633532482,-0.0032616092044793488,False,0.4725164931991719,0.44863894688179573,5.181099194994266e-19,8.586881206085192e-18,0.3532933563448087,0.484375
31,30,0.16814077633532482,0.16499032214075166,-0.00315045419457316,False,0.4729401961372079,0.45292117371171386,4.975435975610553e-19,8.6909646146438e-18,0.3470013504294852,0.484375
32,30,0.16499032214075166,0.16194777402261742,-0.0030425481181342307,False,0.4733777020902931,0.45728439867796133,4.9507041966162245e-19,9.419548474554059e-18,0.34093350694356683,0.484375
33,30,0.16194777402261742,0.1590099530638583,-0.0029378209587591353,False,0.4738279439394648,0.46171671035452777,4.996500992096134e-19,9.315465065995451e-18,0.33508254904107926,0.484375
34,30,0.1590099530638583,0.15617374940508863,-0.0028362036587696593,False,0.4742898992765681,0.4662069960246115,5.212044546115938e-19,1.004404892590571e-17,0.32944143287770433,0.484375
35,30,0.15617374940508863,0.15343612135844312,-0.0027376280466455127,False,0.47476258923185966,0.4707449097663603,5.823606140476283e-19,1.0460382560140144e-17,0.3240033372230876,0.484375
