case_name,seed,split,knot_index,knot_time,slow_pc_step_index,hidden_state_rms_gap_total,hidden_state_rms_gap_rowspace,hidden_state_rms_gap_orthogonal,hidden_state_gap_rowspace_fraction,output_state_rms_gap
same_geometry_last_two_preterminal_plus_terminal,2,validation,2,0.5,8,0.15402262828729346,0.06904483982023926,0.13767999171529346,0.44827724723312823,0.015151286347760307
same_geometry_last_two_preterminal_plus_terminal,2,validation,3,0.75,11,0.22878048594619108,0.10319798162600786,0.20418297514262418,0.45107860139032974,0.02268127398498729
same_geometry_last_two_preterminal_plus_terminal,2,validation,4,1.0,15,0.3079350621747078,0.13948496175079705,0.27453223483212286,0.4529687550541415,0.030716032813049812
same_geometry_last_two_preterminal_plus_terminal,2,test,0,0.0,0,0.0,0.0,0.0,0.0,0.0
same_geometry_last_two_preterminal_plus_terminal,2,test,1,0.25,4,0.07944143853005844,0.035562190280973675,0.07103712253564949,0.44765289928024055,0.007771584255027691
same_geometry_last_two_preterminal_plus_terminal,2,test,2,0.5,8,0.15372175880957814,0.0691785748628234,0.13727601360565095,0.4500246119907978,0.015115283274847962
same_geometry_last_two_preterminal_plus_terminal,2,test,3,0.75,11,0.22851093197297706,0.1035094026711419,0.20372297266096914,0.4529735263754584,0.02266599689098283
same_geometry_last_two_preterminal_plus_terminal,2,test,4,1.0,15,0.3077575505716674,0.14000840021859468,0.27406633832359323,0.4549308374677584,0.03074250369434254
same_geometry_last_two_preterminal_plus_terminal,3,validation,0,0.0,0,0.0,0.0,0.0,0.0,0.0
same_geometry_last_two_preterminal_plus_terminal,3,validation,1,0.25,4,0.07593865989124422,0.033024669400239876,0.0683816589231566,0.4348861231885874,0.007221194353629122
same_geometry_last_two_preterminal_plus_terminal,3,validation,2,0.5,8,0.1461002258393197,0.06479701158364666,0.13094511552604388,0.44351068734767113,0.014120806162415981
same_geometry_last_two_preterminal_plus_terminal,3,validation,3,0.75,11,0.2167714832165506,0.09653308709620208,0.19409080099680237,0.44532189227015323,0.02099107578645634
