case_name,seed,run_id,run_summary_path,terminal_local_field_direction_intervention,terminal_local_field_rowspace_angle_clip_degrees,terminal_local_field_orthogonal_angle_clip_degrees,selected_epoch,val_accuracy,test_accuracy,gate_passing_epoch_count,selected_epoch_passes_gate,selector_fallback_used,val_transported_final_energy,val_report_output_mse,test_report_output_mse,val_supervised_transport_output_mse,test_supervised_transport_output_mse,val_delta_h_rms_total,val_delta_h_rms_rowspace,val_delta_h_rms_orthogonal,val_delta_h_rowspace_fraction,test_delta_h_rms_total,test_delta_h_rms_rowspace,test_delta_h_rms_orthogonal,test_delta_h_rowspace_fraction,val_full_space_angle_raw_vs_lf_deg,val_full_space_angle_stabilized_vs_lf_deg,val_full_space_angle_improvement_deg,val_full_space_correction_angle_deg,val_rowspace_angle_raw_vs_lf_deg,val_rowspace_angle_stabilized_vs_lf_deg,val_rowspace_angle_improvement_deg,val_rowspace_correction_angle_deg,val_orthogonal_angle_raw_vs_lf_deg,val_orthogonal_angle_stabilized_vs_lf_deg,val_orthogonal_angle_improvement_deg,val_orthogonal_correction_angle_deg,val_subspace_correction_mismatch_deg,val_full_cone_clip_activation_rate,val_rowspace_clip_activation_rate,val_orthogonal_clip_activation_rate,val_full_space_angle_above_30deg_rate_after_stabilization,val_raw_action_norm,val_local_field_action_norm,val_stabilized_action_norm,val_raw_rowspace_norm,val_raw_orthogonal_norm,val_stabilized_rowspace_norm,val_stabilized_orthogonal_norm,val_row_orth_norm_ratio_raw,val_row_orth_norm_ratio_stabilized,val_row_orth_norm_ratio_abs_delta,runtime_proxy_seconds
orthogonal_only_angle_clip,0,orthclip_s0,tf2_runs/tf2/orthclip_s0/summary.json,local_field_direction_angle_clip_keep_live_norm_orthogonal_only,30.0,30.0,59,0.7444444444444445,0.7777777777777778,25,1.0,0.0,0.31905117022117474,0.0678377790003336,0.06748324323897449,0.0573219567046331,0.056950636846893596,0.2534905514391582,0.1540736405033985,0.20129275439259614,0.6078082186048605,0.25212739715510885,0.15398569774213597,0.19964125146641795,0.6107455971847594,66.10083424771292,66.10083424771292,-7.368591333808446e-16,2.544114051811143e-07,44.519413796205754,44.519413796205754,1.447401869140945e-16,2.268772959685949e-07,0.0,0.0,0.0,2.449227262782845e-07,3.9961369089694114e-07,0.0,0.0,0.0,1.0,0.3017813329898825,0.0017105682586682626,0.3017813329898825,0.17367027920007186,0.2458046093694869,0.17367027920007186,0.2458046093694869,0.7064994454812965,0.7064994454812965,4.9754439251719976e-17,15.843899799998326
orthogonal_only_angle_clip,1,orthclip_s1,tf2_runs/tf2/orthclip_s1/summary.json,local_field_direction_angle_clip_keep_live_norm_orthogonal_only,30.0,30.0,58,0.7962962962962963,0.8,25,1.0,0.0,0.29314233153668656,0.0608031117599851,0.06104662735140203,0.05007976259765996,0.05032073560113516,0.29125952586145104,0.1793590544032573,0.22948298631621178,0.6158049384746181,0.29094472484944967,0.17956126142255938,0.22892484861644283,0.6171662384168469,67.93833109165686,67.93833109165686,-1.052655904829778e-15,2.894325568416405e-07,45.59044617610703,45.59044617610703,-9.473903143468002e-16,2.5525638886268034e-07,0.0,0.0,0.0,2.511669468621435e-07,4.342370043748856e-07,0.0,0.0,0.0,1.0,0.3504114093652578,0.001632520686179455,0.35041140936525783,0.19054123955114494,0.2915411252659247,0.19054123955114494,0.2915411252659247,0.6558405672213629,0.6558405672213629,5.32495858107251e-17,15.865768200004823
orthogonal_only_angle_clip,2,orthclip_s2,tf2_runs/tf2/orthclip_s2/summary.json,local_field_direction_angle_clip_keep_live_norm_orthogonal_only,30.0,30.0,59,0.737037037037037,0.762962962962963,29,1.0,0.0,0.3052699346462371,0.06507055449961649,0.06477076723525144,0.05263967204367118,0.052310409332922844,0.28876713196526993,0.18423174046024257,0.22236259197634264,0.6379941484559266,0.29099293851146196,0.185767096388054,0.22398097277020415,0.6383903930395094,63.305981709091846,63.305981709091846,-6.579099405186112e-16,2.997378031503944e-07,40.06537223076452,40.06537223076452,-4.276414613370973e-16,2.418275747001462e-07,0.0,0.0,0.0,2.405177797983901e-07,4.201879318080724e-07,0.0,0.0,0.0,1.0,0.3308173517639865,0.0017068714535479908,0.3308173517639865,0.19511876851927046,0.2646575086038794,0.19511876851927049,0.2646575086038794,0.7445446221399181,0.7445446221399181,4.8520858113247584e-17,15.75698150000244
orthogonal_only_angle_clip,3,orthclip_s3,tf2_runs/tf2/orthclip_s3/summary.json,local_field_direction_angle_clip_keep_live_norm_orthogonal_only,30.0,30.0,50,0.8444444444444444,0.8333333333333334,25,1.0,0.0,0.3144429380041523,0.06608888083996838,0.06565591787675432,0.05557548024596399,0.0552547748408629,0.2692676402352741,0.16237487437996614,0.21480098288407162,0.6030240924534793,0.26888145939497277,0.16015713775429197,0.2159790046109184,0.5956421767223062,66.5393466363629,66.5393466363629,-1.052655904829778e-15,2.3457831313945253e-07,40.39893175192484,40.39893175192484,-5.394861512252612e-16,2.687521760628228e-07,0.0,0.0,0.0,2.76543972435751e-07,3.972188263707161e-07,0.0,0.0,0.0,1.0,0.3179742797615188,0.0016373655816959442,0.3179742797615188,0.16698985011002976,0.2694846534488327,0.16698985011002976,0.2694846534488327,0.6219476108025198,0.6219476108025198,4.0091387000352874e-17,16.156651100005547
orthogonal_only_angle_clip,4,orthclip_s4,tf2_runs/tf2/orthclip_s4/summary.json,local_field_direction_angle_clip_keep_live_norm_orthogonal_only,30.0,30.0,60,0.8333333333333334,0.8518518518518519,28,1.0,0.0,0.29940152932548747,0.06377053130563125,0.0631807280913185,0.053026296193235394,0.05248624184625591,0.26056215670758776,0.16132425389446825,0.20461457087290402,0.6191392331600638,0.2591636943927309,0.16071061287816105,0.2033172875080098,0.6201123705028828,64.99739779696176,64.99739779696176,-1.052655904829778e-15,2.598753100654257e-07,41.536110427475556,41.536110427475556,1.0131813083986615e-15,2.1870071702311103e-07,0.0,0.0,0.0,2.4029305452110304e-07,3.346789261632863e-07,0.0,0.0,0.0,1.0,0.30006967491752123,0.0017005244327133178,0.30006967491752123,0.16975588495139898,0.24629043922846483,0.16975588495139898,0.24629043922846489,0.6965517666155361,0.6965517666155361,4.5231308410654523e-17,15.992632000001322
split_threshold_row_strict_20_45,0,split_row_s0,tf2_runs/tf2/split_row_s0/summary.json,local_field_direction_angle_clip_keep_live_norm_split_threshold,20.0,45.0,53,0.7444444444444445,0.7888888888888889,24,1.0,0.0,0.32494823842222975,0.06763933743305282,0.06714864927832871,0.05812657724076158,0.05763809380090141,0.26088971907411024,0.1534057855691051,0.21102158769304608,0.588010083776155,0.2587546153143675,0.1526843404295965,0.20890534491502463,0.5900738823309353,69.29296927080796,57.83852582419404,11.45444344661393,17.124996834853984,50.81247755259998,19.999999999999986,30.812477552599994,30.81247755259999,0.0,0.0,0.0,2.5263449400357835e-07,30.81247729996549,1.0,1.0,0.0,1.0,0.3138359050944052,0.0017121376196000983,0.31383590509440523,0.17837846503754223,0.25728899458874444,0.1783784650375422,0.25728899458874444,0.6928144921398394,0.6928144921398394,1.7557971537590439e-16,16.946657200001937
split_threshold_row_strict_20_45,1,split_row_s1,tf2_runs/tf2/split_row_s1/summary.json,local_field_direction_angle_clip_keep_live_norm_split_threshold,20.0,45.0,56,0.8185185185185185,0.8,26,1.0,0.0,0.29557708275115424,0.060962961504716896,0.06136236825267313,0.05043836920971757,0.05082621270766779,0.2934775199288443,0.1758993602163472,0.23492226326822438,0.5993622961615432,0.2930302386886589,0.1761805760026431,0.23415192808368945,0.6012368443307069,69.15200432648302,59.84594467765715,9.306059648825876,14.04390614669285,47.846454924292686,19.98176167371369,27.864693250578995,27.864693258213027,0.0,0.0,0.0,2.594104988452356e-07,27.864693005126778,0.9777777777777777,0.9777777777777777,0.0,1.0,0.3515694206452445,0.0016589199159685634,0.3515694206452445,0.18842133043752263,0.29385715784689986,0.18842133043752263,0.29385715784689986,0.645582492145173,0.6455824921451729,1.2346091227544564e-16,17.058018299998366
split_threshold_row_strict_20_45,2,split_row_s2,tf2_runs/tf2/split_row_s2/summary.json,local_field_direction_angle_clip_keep_live_norm_split_threshold,20.0,45.0,56,0.774074074074074,0.7851851851851852,27,1.0,0.0,0.30574653155792453,0.06414758341400653,0.06381990017700423,0.05242827529122173,0.052054707493591354,0.29410159514551915,0.18109338154654686,0.2317346228494474,0.6157511028015448,0.29623996933093943,0.18272251023715325,0.23317504944103556,0.6168057289832755,65.93984095380934,57.54047296824913,8.399367985560211,13.088011483416816,44.23612105784935,19.944546924829876,24.29157413301947,24.291574145125445,0.0,0.0,0.0,3.2726960730732404e-07,24.291573824180087,0.9814814814814815,0.9814814814814815,0.0,1.0,0.3371253724179955,0.0017135920959745847,0.3371253724179955,0.19293141340263323,0.2742487042700354,0.1929314134026332,0.27424870427003545,0.7083632857076534,0.7083632857076533,1.4833813190130563e-16,17.042002000001958
split_threshold_row_strict_20_45,3,split_row_s3,tf2_runs/tf2/split_row_s3/summary.json,local_field_direction_angle_clip_keep_live_norm_split_threshold,20.0,45.0,50,0.8444444444444444,0.8111111111111111,22,1.0,0.0,0.31254644691067673,0.06522109099753512,0.06466855878908832,0.05506385798859926,0.05461845641293537,0.2717510221694682,0.16010015562711968,0.21958269107177572,0.5891427908862793,0.271242925674458,0.15797984494233966,0.22048830653899518,0.5824293649300365,68.1838674656268,61.15350082731795,7.030366638308853,11.667816610494254,43.356417897133134,19.999999999999986,23.356417897133145,23.356417897133145,0.0,0.0,0.0,2.954366914825965e-07,23.35641760169645,1.0,1.0,0.0,1.0,0.32073468257166377,0.0016793927951592453,0.32073468257166377,0.1648619369369277,0.2739702129030065,0.1648619369369277,0.2739702129030065,0.6037822486122221,0.6037822486122221,1.2233012956517929e-16,17.04864919999818
split_threshold_row_strict_20_45,4,split_row_s4,tf2_runs/tf2/split_row_s4/summary.json,local_field_direction_angle_clip_keep_live_norm_split_threshold,20.0,45.0,59,0.8333333333333334,0.8296296296296296,27,1.0,0.0,0.29992900912469483,0.0635219280224109,0.06286931013245778,0.053040088291132145,0.05246045238550481,0.26234660674551347,0.15795031860068956,0.20946942241011163,0.602067320633987,0.2610783259221182,0.15722471149200937,0.20842812277269646,0.6022128069677862,66.5690508778364,58.56387405862203,8.005176819214379,12.992857215990549,44.077835721657074,19.991435058076455,24.086400663580616,24.086400663580626,0.0,0.0,0.0,2.7830321789208114e-07,24.086400385277404,0.9925925925925926,0.9925925925925926,0.0,1.0,0.30274587683865045,0.0017408447165085114,0.3027458768386505,0.16748925778542761,0.2507211436573362,0.16748925778542761,0.2507211436573362,0.6753347707310497,0.6753347707310499,1.2911482582677747e-16,16.948878400005924
