seed,epoch,candidate_key,handoff_mode,replay_prefix_steps,direction_anchor_mode,relative_terminal_action_vector_delta_vs_replay,terminal_action_direction_cosine_similarity_vs_replay,terminal_action_direction_cosine_similarity_vs_terminal_local_field,terminal_action_norm_ratio_vs_replay,terminal_action_norm_delta_vs_replay,relative_terminal_bootstrap_target_delta,relative_terminal_identity_target_delta,terminal_lambda_id_delta,terminal_post_action_state_slot_displacement,terminal_next_state_displacement_vs_baseline_replay
0,5,residualized_local_field_poly_rt2,k4_open_loop_baseline_plan_replay,4,full_replay,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,6,residualized_local_field_poly_rt2,terminal_live_action_raw,3,live_action_raw,1.3980586668487118,-0.07214147365186574,0.36257523830450233,0.9071095616579334,0.08889965773001149,0.0,0.0,0.0,0.0,0.3044270378898658
0,6,residualized_local_field_poly_rt2,terminal_baseline_direction_only_keep_live_norm,3,baseline_direction_only_keep_live_norm,0.10611926989129294,1.0,0.02891424153545689,0.8981054063084647,0.09497352661882012,0.0,0.0,0.0,0.28618011248844305,0.02374338165470503
0,6,residualized_local_field_poly_rt2,terminal_baseline_direction_mix_half_keep_live_norm,3,baseline_direction_mix_half_keep_live_norm,0.7682743689758091,0.679903613614652,0.13707472796280817,0.9011901617215525,0.09282479362386302,0.0,0.0,0.0,0.15664476807085176,0.16736883837022473
0,6,residualized_local_field_poly_rt2,terminal_local_field_direction_only_keep_live_norm,3,local_field_direction_only_keep_live_norm,1.5857854948643586,-0.3796684832702565,1.0,0.9085635384081412,0.0879180245479955,0.0,0.0,0.0,0.2745283296429303,0.3452765936832552
0,6,residualized_local_field_poly_rt2,terminal_local_field_direction_mix_half_keep_live_norm,3,local_field_direction_mix_half_keep_live_norm,1.5139999289908865,-0.25659443165165063,0.8030696459462794,0.908592420894984,0.0879145716556379,0.0,0.0,0.0,0.12327674602061015,0.3296160603616525
0,6,residualized_local_field_poly_rt2,terminal_replay_action_vector_only,3,replay_action_vector_only,0.0,1.0,0.06281002760614258,1.0,0.0,0.0,0.0,0.0,0.303459572609002,0.0
0,6,residualized_local_field_poly_rt2,k4_open_loop_baseline_plan_replay,4,full_replay,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,7,residualized_local_field_poly_rt2,terminal_live_action_raw,3,live_action_raw,1.3992102388721235,-0.06768597864506057,0.34402509944714954,0.9128449734162091,0.08212386106883887,0.0,0.0,0.0,0.0,0.28176658632458473
0,7,residualized_local_field_poly_rt2,terminal_baseline_direction_only_keep_live_norm,3,baseline_direction_only_keep_live_norm,0.10358377829942425,1.0,0.044224491433352754,0.905842899363336,0.08608029952524915,0.0,0.0,0.0,0.26615326726607724,0.02152007488131229
0,7,residualized_local_field_poly_rt2,terminal_baseline_direction_mix_half_keep_live_norm,3,baseline_direction_mix_half_keep_live_norm,0.7686282988241976,0.681694645666662,0.1425554610389608,0.9083542674585872,0.08461394566818355,0.0,0.0,0.0,0.14553929115142455,0.15486148198722835
0,7,residualized_local_field_poly_rt2,terminal_local_field_direction_only_keep_live_norm,3,local_field_direction_only_keep_live_norm,1.555240944848159,-0.32034783166712055,1.0,0.9133491443617002,0.0818166871595418,0.0,0.0,0.0,0.25522690620093585,0.3131981466905357
0,7,residualized_local_field_poly_rt2,terminal_local_field_direction_mix_half_keep_live_norm,3,local_field_direction_mix_half_keep_live_norm,1.4991269071784474,-0.22532768371271988,0.7979881852977684,0.9137652640990055,0.0815946879632806,0.0,0.0,0.0,0.1161448006613132,0.30185307101225484
0,7,residualized_local_field_poly_rt2,terminal_replay_action_vector_only,3,replay_action_vector_only,0.0,1.0,0.07468084883310983,1.0,0.0,0.0,0.0,0.0,0.2810392825865399,0.0
0,7,residualized_local_field_poly_rt2,k4_open_loop_baseline_plan_replay,4,full_replay,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,8,residualized_local_field_poly_rt2,terminal_live_action_raw,3,live_action_raw,1.4012163471667372,-0.0546494975402152,0.30401863228538706,0.927757904854165,0.07152560184256737,0.0,0.0,0.0,0.0,0.2493030894642958
0,8,residualized_local_field_poly_rt2,terminal_baseline_direction_only_keep_live_norm,3,baseline_direction_only_keep_live_norm,0.10002605298748621,1.0,0.06293940788892123,0.9222949131281745,0.07376619864562688,0.0,0.0,0.0,0.23768563416377533,0.01844154966140672
0,8,residualized_local_field_poly_rt2,terminal_baseline_direction_mix_half_keep_live_norm,3,baseline_direction_mix_half_keep_live_norm,0.7685231319705006,0.68652753210498,0.13883974924285047,0.9243746785357893,0.07286706076919833,0.0,0.0,0.0,0.1297454237024946,0.13680751653894033
0,8,residualized_local_field_poly_rt2,terminal_local_field_direction_only_keep_live_norm,3,local_field_direction_only_keep_live_norm,1.5270867382245101,-0.2541054295920712,1.0,0.9276000323462567,0.0715943153082165,0.0,0.0,0.0,0.23090698627293643,0.2717726309660899
0,8,residualized_local_field_poly_rt2,terminal_local_field_direction_mix_half_keep_live_norm,3,local_field_direction_mix_half_keep_live_norm,1.4854612654287522,-0.185006192729576,0.7859837487358828,0.9282504824613795,0.07132466811219029,0.0,0.0,0.0,0.10731487105458415,0.26429069460849364
0,8,residualized_local_field_poly_rt2,terminal_replay_action_vector_only,3,replay_action_vector_only,0.0,1.0,0.08778249773961896,1.0,0.0,0.0,0.0,0.0,0.2487714794026493,0.0
0,8,residualized_local_field_poly_rt2,k4_open_loop_baseline_plan_replay,4,full_replay,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,9,residualized_local_field_poly_rt2,terminal_live_action_raw,3,live_action_raw,1.4022424769959418,-0.040222574513600146,0.26233201209474377,0.9426993203857343,0.06466774711351504,0.0,0.0,0.0,0.0,0.21801297227466124
