epoch,train_steps,pre_update_energy,post_update_energy,energy_delta,trace_saved,weight_norm_l1,weight_norm_l2,bias_norm_l1,bias_norm_l2,mse,baseline_mse
16,25,0.0963987691883027,0.0961064847045599,-0.0002922844837427996,False,0.11314133834371451,0.28956449484671654,0.004048001943885607,0.05486919814082998,0.19985717088058735,0.21250000000000002
17,25,0.0961064847045599,0.09582168368464204,-0.0002848010199178602,False,0.11398225255075196,0.2915371650656666,0.004216693183704303,0.0570181861784058,0.1993707848334292,0.21250000000000002
18,25,0.09582168368464204,0.09554337102636788,-0.0002783126582741602,False,0.11483342104575323,0.2935281060829252,0.00437792001537018,0.05905871818575375,0.19889902726298603,0.21250000000000002
19,25,0.09554337102636788,0.09527064641990275,-0.0002727246064651301,False,0.11569480447372116,0.2955373405472511,0.004532008051785924,0.06099622087069332,0.19844005299098297,0.21250000000000002
20,25,0.09527064641990275,0.09500269512928221,-0.0002679512906205439,False,0.11656636375205927,0.2975648888131307,0.004679268443406888,0.06283584931848524,0.19799219161917353,0.21250000000000002
21,25,0.09500269512928221,0.09473877967509471,-0.0002639154541874966,False,0.11744806006917442,0.2996107689334333,0.004819998530762811,0.0645825005831845,0.1975539305302807,0.21250000000000002
22,25,0.09473877967509471,0.09447823233045029,-0.00026054734464442397,False,0.11833985488097006,0.30167499665214154,0.004954482466938123,0.06624082659919277,0.19712389954634457,0.21250000000000002
23,25,0.09447823233045029,0.09422044835093236,-0.00025778397951792265,False,0.11924170990533155,0.3037575853969294,0.005082991811423934,0.06781524644700491,0.19670085708312984,0.21250000000000002
24,25,0.09422044835093236,0.0939648798669651,-0.0002555684839672667,False,0.1201535871147014,0.3058585462713903,0.005205786096687112,0.06930995800544493,0.1962836776549604,0.21250000000000002
25,25,0.0939648798669651,0.09371103037400758,-0.00025384949295752246,False,0.12107544872684045,0.30797788804674875,0.005323113368737502,0.0707289490210715,0.19587134059853617,0.21250000000000002
26,25,0.09371103037400758,0.09345844976228661,-0.0002525806117209678,False,0.12200725719386767,0.3101156171529104,0.005435210702913078,0.0720760076239,0.19546291989708697,0.21250000000000002
27,25,0.09345844976228661,0.09320672983346374,-0.0002517199288228633,False,0.12294897518966919,0.31227173766873406,0.0055423046960445714,0.07335473231712958,0.19505757499777684,0.21250000000000002
28,25,0.09320672983346374,0.09295550025676265,-0.00025122957670109525,False,0.12390056559576444,0.3144462513114247,0.005644611936105656,0.07456854146718049,0.1946545425256995,0.21250000000000002
29,25,0.09295550025676265,0.09270442492171305,-0.00025107533504960255,False,0.12486199148571468,0.31663915742497,0.005742339450402043,0.07572068231903069,0.1942531288072216,0.21250000000000002
30,25,0.09270442492171305,0.09245319864884483,-0.0002512262728682213,False,0.12583321610815654,0.31885045296755754,0.0058356851333025775,0.07681423956059176,0.19385270312392539,0.21250000000000002
31,25,0.09245319864884483,0.09220154422343765,-0.00025165442540717176,False,0.12681420286854125,0.3210801324979265,0.00592483815446771,0.07785214345867687,0.1934526916260732,0.21250000000000002
32,25,0.09220154422343765,0.09194920972083248,-0.00025233450260517265,False,0.12780491530965732,0.3233281881606218,0.006009979348485157,0.07883717758798604,0.1930525718414357,0.21250000000000002
33,25,0.09194920972083248,0.09169596609488372,-0.00025324362594876526,False,0.12880531709101203,0.32559460967013115,0.006091281586779346,0.07977198617346229,0.1926518677215761,0.21250000000000002
34,25,0.09169596609488372,0.0914416050039005,-0.0002543610909832156,False,0.1298153719671455,0.32787938429389646,0.006168910132619976,0.08065908106535484,0.19225014517331876,0.21250000000000002
