theta_mode,candidate_key,seed,epoch,train_loss,val_accuracy,test_accuracy,gate_pass,val_transported_final_energy,run_summary_path
live_theta,residualized_local_field_poly_rt2,1,44,0.002347735712407802,0.7666666666666667,0.7407407407407407,True,0.3263762443915336,runs/live_theta/residualized_local_field_poly_rt2/seed_1/summary.json
live_theta,residualized_local_field_poly_rt2,1,45,0.0023331480184435173,0.6925925925925925,0.7037037037037037,True,0.3238879677155502,runs/live_theta/residualized_local_field_poly_rt2/seed_1/summary.json
live_theta,residualized_local_field_poly_rt2,1,46,0.002321743625104488,0.7888888888888889,0.7777777777777778,True,0.3207178907253707,runs/live_theta/residualized_local_field_poly_rt2/seed_1/summary.json
live_theta,residualized_local_field_poly_rt2,1,47,0.002304150639983288,0.6962962962962963,0.7222222222222222,True,0.31863774984577775,runs/live_theta/residualized_local_field_poly_rt2/seed_1/summary.json
live_theta,residualized_local_field_poly_rt2,1,48,0.002294475745320825,0.7518518518518519,0.7851851851851852,True,0.3147948843304291,runs/live_theta/residualized_local_field_poly_rt2/seed_1/summary.json
live_theta,residualized_local_field_poly_rt2,1,49,0.002280001917964404,0.7296296296296296,0.7703703703703704,True,0.3122759951237745,runs/live_theta/residualized_local_field_poly_rt2/seed_1/summary.json
live_theta,residualized_local_field_poly_rt2,1,50,0.0022677430671169292,0.7851851851851852,0.774074074074074,True,0.3109523396684476,runs/live_theta/residualized_local_field_poly_rt2/seed_1/summary.json
live_theta,residualized_local_field_poly_rt2,1,51,0.00225928507298528,0.7555555555555555,0.7481481481481481,True,0.3082125678499205,runs/live_theta/residualized_local_field_poly_rt2/seed_1/summary.json
live_theta,residualized_local_field_poly_rt2,1,52,0.002251824839335063,0.7666666666666667,0.7851851851851852,True,0.30548897224982663,runs/live_theta/residualized_local_field_poly_rt2/seed_1/summary.json
live_theta,residualized_local_field_poly_rt2,1,53,0.0022438504255202574,0.7703703703703704,0.7851851851851852,True,0.3034241985194441,runs/live_theta/residualized_local_field_poly_rt2/seed_1/summary.json
live_theta,residualized_local_field_poly_rt2,1,54,0.002238475821117155,0.774074074074074,0.7851851851851852,True,0.30081732864788097,runs/live_theta/residualized_local_field_poly_rt2/seed_1/summary.json
live_theta,residualized_local_field_poly_rt2,1,55,0.002233526435704242,0.7481481481481481,0.774074074074074,True,0.2995192996570972,runs/live_theta/residualized_local_field_poly_rt2/seed_1/summary.json
live_theta,residualized_local_field_poly_rt2,1,56,0.0022358522473083075,0.7925925925925926,0.7888888888888889,True,0.2969911503060303,runs/live_theta/residualized_local_field_poly_rt2/seed_1/summary.json
live_theta,residualized_local_field_poly_rt2,1,57,0.0022316688132853514,0.7925925925925926,0.7925925925925926,True,0.29503013591606925,runs/live_theta/residualized_local_field_poly_rt2/seed_1/summary.json
live_theta,residualized_local_field_poly_rt2,1,58,0.0022313244141393225,0.7962962962962963,0.8,True,0.29314233153668645,runs/live_theta/residualized_local_field_poly_rt2/seed_1/summary.json
live_theta,residualized_local_field_poly_rt2,1,59,0.0022331729657672403,0.762962962962963,0.7777777777777778,True,0.29162698981017715,runs/live_theta/residualized_local_field_poly_rt2/seed_1/summary.json
live_theta,residualized_local_field_poly_rt2,1,60,0.0022332808507008377,0.7481481481481481,0.7703703703703704,True,0.2893354596819988,runs/live_theta/residualized_local_field_poly_rt2/seed_1/summary.json
live_theta,residualized_local_field_poly_rt2,2,1,0.0042079401928460675,0.15555555555555556,0.13703703703703704,False,0.6222849553967484,runs/live_theta/residualized_local_field_poly_rt2/seed_2/summary.json
live_theta,residualized_local_field_poly_rt2,2,2,0.004819802009969924,0.15185185185185185,0.15555555555555556,False,0.6288193212579387,runs/live_theta/residualized_local_field_poly_rt2/seed_2/summary.json
live_theta,residualized_local_field_poly_rt2,2,3,0.005966182608506005,0.18518518518518517,0.1814814814814815,False,0.6584695383196064,runs/live_theta/residualized_local_field_poly_rt2/seed_2/summary.json
live_theta,residualized_local_field_poly_rt2,2,4,0.007092779980687025,0.22592592592592592,0.24074074074074073,False,0.6911409203027241,runs/live_theta/residualized_local_field_poly_rt2/seed_2/summary.json
live_theta,residualized_local_field_poly_rt2,2,5,0.00813306534454279,0.23333333333333334,0.24814814814814815,False,0.7230179520432038,runs/live_theta/residualized_local_field_poly_rt2/seed_2/summary.json
live_theta,residualized_local_field_poly_rt2,2,6,0.009232592742985261,0.26296296296296295,0.26666666666666666,False,0.7410545071223031,runs/live_theta/residualized_local_field_poly_rt2/seed_2/summary.json
live_theta,residualized_local_field_poly_rt2,2,7,0.00971794138566291,0.2814814814814815,0.27037037037037037,False,0.7256205844926769,runs/live_theta/residualized_local_field_poly_rt2/seed_2/summary.json
live_theta,residualized_local_field_poly_rt2,2,8,0.009259020115850758,0.28888888888888886,0.2740740740740741,False,0.6821472293686286,runs/live_theta/residualized_local_field_poly_rt2/seed_2/summary.json
live_theta,residualized_local_field_poly_rt2,2,9,0.008199866759264745,0.2851851851851852,0.2851851851851852,False,0.6326828468897852,runs/live_theta/residualized_local_field_poly_rt2/seed_2/summary.json
live_theta,residualized_local_field_poly_rt2,2,10,0.007046884871312597,0.32222222222222224,0.32592592592592595,False,0.5852783566062383,runs/live_theta/residualized_local_field_poly_rt2/seed_2/summary.json
live_theta,residualized_local_field_poly_rt2,2,11,0.006051666701228364,0.3037037037037037,0.337037037037037,False,0.5498820059791774,runs/live_theta/residualized_local_field_poly_rt2/seed_2/summary.json
live_theta,residualized_local_field_poly_rt2,2,12,0.005255244894751943,0.36666666666666664,0.37037037037037035,False,0.5219506870562328,runs/live_theta/residualized_local_field_poly_rt2/seed_2/summary.json
live_theta,residualized_local_field_poly_rt2,2,13,0.004636589006438005,0.3111111111111111,0.3,False,0.4997575765295955,runs/live_theta/residualized_local_field_poly_rt2/seed_2/summary.json
live_theta,residualized_local_field_poly_rt2,2,14,0.004166591155989351,0.3962962962962963,0.42592592592592593,False,0.48238978723347004,runs/live_theta/residualized_local_field_poly_rt2/seed_2/summary.json
live_theta,residualized_local_field_poly_rt2,2,15,0.003835450070477666,0.3962962962962963,0.42592592592592593,False,0.46850282214142797,runs/live_theta/residualized_local_field_poly_rt2/seed_2/summary.json
live_theta,residualized_local_field_poly_rt2,2,16,0.0035111841637225907,0.44074074074074077,0.4666666666666667,False,0.4571712716570874,runs/live_theta/residualized_local_field_poly_rt2/seed_2/summary.json
live_theta,residualized_local_field_poly_rt2,2,17,0.0032803823602059004,0.5111111111111111,0.5481481481481482,False,0.44721320891477145,runs/live_theta/residualized_local_field_poly_rt2/seed_2/summary.json
live_theta,residualized_local_field_poly_rt2,2,18,0.0030944171727157826,0.5851851851851851,0.5740740740740741,False,0.4392693712603415,runs/live_theta/residualized_local_field_poly_rt2/seed_2/summary.json
live_theta,residualized_local_field_poly_rt2,2,19,0.0029376403259019743,0.5370370370370371,0.562962962962963,False,0.4319391240475764,runs/live_theta/residualized_local_field_poly_rt2/seed_2/summary.json
live_theta,residualized_local_field_poly_rt2,2,20,0.0028112952373333653,0.45925925925925926,0.4666666666666667,False,0.4244470378018327,runs/live_theta/residualized_local_field_poly_rt2/seed_2/summary.json
live_theta,residualized_local_field_poly_rt2,2,21,0.002706830215507911,0.48518518518518516,0.5592592592592592,False,0.41904883464632187,runs/live_theta/residualized_local_field_poly_rt2/seed_2/summary.json
live_theta,residualized_local_field_poly_rt2,2,22,0.0026236084428965544,0.5148148148148148,0.5666666666666667,False,0.4140243555215941,runs/live_theta/residualized_local_field_poly_rt2/seed_2/summary.json
live_theta,residualized_local_field_poly_rt2,2,23,0.0025560576693126067,0.48518518518518516,0.5074074074074074,False,0.4088721759148097,runs/live_theta/residualized_local_field_poly_rt2/seed_2/summary.json
live_theta,residualized_local_field_poly_rt2,2,24,0.0024996568866694465,0.5777777777777777,0.6,False,0.40368865301585616,runs/live_theta/residualized_local_field_poly_rt2/seed_2/summary.json
live_theta,residualized_local_field_poly_rt2,2,25,0.0024532070357150045,0.6185185185185185,0.6074074074074074,False,0.39779511762989045,runs/live_theta/residualized_local_field_poly_rt2/seed_2/summary.json
live_theta,residualized_local_field_poly_rt2,2,26,0.0024222756159654776,0.5851851851851851,0.5777777777777777,False,0.3962988353385752,runs/live_theta/residualized_local_field_poly_rt2/seed_2/summary.json
live_theta,residualized_local_field_poly_rt2,2,27,0.002388530606007985,0.5888888888888889,0.6148148148148148,False,0.3900998893115222,runs/live_theta/residualized_local_field_poly_rt2/seed_2/summary.json
live_theta,residualized_local_field_poly_rt2,2,28,0.0023645776900434088,0.5518518518518518,0.5592592592592592,False,0.38694943038497054,runs/live_theta/residualized_local_field_poly_rt2/seed_2/summary.json
live_theta,residualized_local_field_poly_rt2,2,29,0.0023445344676584754,0.6185185185185185,0.6185185185185185,False,0.3821469403418678,runs/live_theta/residualized_local_field_poly_rt2/seed_2/summary.json
live_theta,residualized_local_field_poly_rt2,2,30,0.0023275369378834843,0.6185185185185185,0.6333333333333333,False,0.3801538940755808,runs/live_theta/residualized_local_field_poly_rt2/seed_2/summary.json
live_theta,residualized_local_field_poly_rt2,2,31,0.0023110415669719483,0.6259259259259259,0.6444444444444445,False,0.375815008499385,runs/live_theta/residualized_local_field_poly_rt2/seed_2/summary.json
live_theta,residualized_local_field_poly_rt2,2,32,0.0022948691847563918,0.6,0.5814814814814815,True,0.3719066586404915,runs/live_theta/residualized_local_field_poly_rt2/seed_2/summary.json
live_theta,residualized_local_field_poly_rt2,2,33,0.0022820708214486177,0.6962962962962963,0.7111111111111111,True,0.3682359793099082,runs/live_theta/residualized_local_field_poly_rt2/seed_2/summary.json
live_theta,residualized_local_field_poly_rt2,2,34,0.002268984765272428,0.7037037037037037,0.7074074074074074,True,0.3651202557579655,runs/live_theta/residualized_local_field_poly_rt2/seed_2/summary.json
live_theta,residualized_local_field_poly_rt2,2,35,0.0022586343382155405,0.6777777777777778,0.7,True,0.36174862250845014,runs/live_theta/residualized_local_field_poly_rt2/seed_2/summary.json
live_theta,residualized_local_field_poly_rt2,2,36,0.002245422855270814,0.6296296296296297,0.6703703703703704,True,0.3594339306539627,runs/live_theta/residualized_local_field_poly_rt2/seed_2/summary.json
live_theta,residualized_local_field_poly_rt2,2,37,0.0022337401352334903,0.662962962962963,0.674074074074074,True,0.3554995772170447,runs/live_theta/residualized_local_field_poly_rt2/seed_2/summary.json
live_theta,residualized_local_field_poly_rt2,2,38,0.0022198883700767823,0.7148148148148148,0.7185185185185186,True,0.3533856687674355,runs/live_theta/residualized_local_field_poly_rt2/seed_2/summary.json
