epoch,stage,lambda_id,alpha,lambda_traj_curr,lambda_sg,train_total_loss,train_boot_loss,train_transport_loss,train_drift_loss,train_identity_loss,train_traj_curr_loss,train_semigroup_loss,train_main_traj_contract_loss,train_mean_midpoint_reconstruction_shift_norm,train_mean_continuation_reevaluation_shift_norm,train_mean_continuation_target_blend_shift_norm,train_mean_semigroup_endpoint_closure_residual_norm,train_mean_predictor_semigroup_defect_norm,train_mean_corrected_semigroup_defect_norm,train_mean_first_projection_short_leg_correction_norm,train_mean_first_projection_continuation_correction_norm,train_mean_second_projection_short_leg_correction_norm,train_mean_second_projection_continuation_correction_norm,train_transported_final_energy,val_one_step_transported_final_energy,val_one_step_energy_delta_vs_identity,val_one_step_fixed_point_residual_delta_vs_identity,val_configured_transported_final_energy,val_configured_energy_delta_vs_identity,val_configured_fixed_point_residual_delta_vs_identity,val_accuracy,val_output_mse
24,hybrid,0.1,0.5,0.2,0.1,3.5735704915428183e-06,2.770679520614882e-06,1.8218587601765828e-06,9.488207604382989e-07,5.748877445619145e-06,9.891365672665028e-07,3.017591291272101e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4203985813809429,0.4226554806655816,-8.700892140189875e-05,-4.121674267492856e-07,0.4226533197210818,-8.916986590173925e-05,-4.2143329192443615e-07,0.4,0.0845484979173967
25,hybrid,0.1,0.5,0.2,0.1,3.5368076479425296e-06,2.7449918354145368e-06,1.801770300140592e-06,9.432215352739451e-07,5.6671084691080454e-06,9.747230504778597e-07,3.0160355521616104e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41924721264889,0.4216692494978846,-8.968573623469034e-05,-4.2196115081615123e-07,0.4216672884183355,-9.164681578377465e-05,-4.301977282027559e-07,0.4222222222222222,0.08435178704682386
26,hybrid,0.1,0.5,0.2,0.1,3.507701737857688e-06,2.7229588472971963e-06,1.7836235129251047e-06,9.393353343720918e-07,5.615796541548003e-06,9.650758707233793e-07,3.0148062261015013e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4184557622630546,0.42069661002500064,-9.250443169445122e-05,-4.323294740207642e-07,0.42069466550260476,-9.44489540903315e-05,-4.4038587531663336e-07,0.45185185185185184,0.08415782289133901
27,hybrid,0.1,0.5,0.2,0.1,3.4756183241278425e-06,2.700832213590345e-06,1.7649073765252637e-06,9.359248370650812e-07,5.542086275423879e-06,9.52220195046002e-07,3.0133443985908217e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4173438266011479,0.41972502597072164,-9.537065533266054e-05,-4.4264610056380434e-07,0.41972323743344975,-9.715919260455674e-05,-4.499306031745937e-07,0.46296296296296297,0.08396407932521087
28,hybrid,0.1,0.5,0.2,0.1,3.4486138524520333e-06,2.682210399869771e-06,1.7501779764620894e-06,9.320324234076816e-07,5.479557283201826e-06,9.41637060935627e-07,3.012031207495427e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41631920140889217,0.41877370055450475,-9.804075554809e-05,-4.519107633083302e-07,0.41877200037819007,-9.974093186276844e-05,-4.587116696397786e-07,0.4703703703703704,0.08377434826201056
29,hybrid,0.1,0.5,0.2,0.1,3.41905767982758e-06,2.6614672211022253e-06,1.7336545353838787e-06,9.278126857183471e-07,5.4145248684308785e-06,9.301579703595646e-07,3.0106377810353217e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4153811836676392,0.41782816232910835,-0.00010098296094940284,-4.622629635357223e-07,0.4178266601025618,-0.0001024851874959487,-4.6807287048985765e-07,0.4777777777777778,0.08358582905801155
30,hybrid,0.1,0.5,0.2,0.1,3.3923118440746464e-06,2.6425818990102275e-06,1.7186583690619662e-06,9.239235299482611e-07,5.356449817887745e-06,9.199596303036065e-07,3.009303721492273e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4144328475721152,0.4168942309937488,-0.00010423686411809019,-4.739035253787218e-07,0.41689300170404725,-0.00010546615381962221,-4.784013180055653e-07,0.48148148148148145,0.08339969357157337
31,hybrid,0.1,0.5,0.2,0.1,3.3689683189895495e-06,2.626131042651456e-06,1.7044730425654523e-06,9.216580000860041e-07,5.305093402157885e-06,9.112321446800567e-07,3.00815071862933e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41342355021435695,0.4159653956609654,-0.00010719294458888529,-4.839624826370086e-07,0.41596428497445076,-0.00010830363110353458,-4.878781609300926e-07,0.48518518518518516,0.08321451772111087
32,hybrid,0.1,0.5,0.2,0.1,3.341518185505824e-06,2.605880751322647e-06,1.6897129301378739e-06,9.161678211847738e-07,5.252540438187642e-06,9.015692869985375e-07,3.00695329647037e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41256473145609734,0.4150459829227543,-0.00011053139487204877,-4.956620364469184e-07,0.4150450062447613,-0.00011150807286502973,-4.989202514500831e-07,0.5037037037037037,0.08303130286352527
33,hybrid,0.1,0.5,0.2,0.1,3.3200181968644424e-06,2.5912596887851347e-06,1.6778036737804267e-06,9.134560150047076e-07,5.201233502540199e-06,8.928908546905706e-07,3.005698688717355e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4115553104772226,0.4141309218880118,-0.00011402687593009553,-5.078602566267168e-07,0.41413014341999427,-0.00011480534394764375,-5.101999644425536e-07,0.5148148148148148,0.08284898975278839
