seed,epoch,candidate_key,handoff_mode,live_step_count,live_control_family,step_index,relative_bootstrap_target_delta,relative_identity_target_delta,relative_psi_input_delta,bootstrap_target_cosine_similarity,identity_target_cosine_similarity,state_slot_displacement
0,4,residualized_local_field_poly_rt2,k4_open_loop_baseline_plan_replay,0,full_replay,0,0.0,0.0,0.0,1.0,1.0,0.0
0,4,residualized_local_field_poly_rt2,k4_open_loop_baseline_plan_replay,0,full_replay,1,0.0,0.0,0.0,1.0,1.0,0.0
0,4,residualized_local_field_poly_rt2,k4_open_loop_baseline_plan_replay,0,full_replay,2,0.0,0.0,0.0,1.0,1.0,0.0
0,4,residualized_local_field_poly_rt2,k4_open_loop_baseline_plan_replay,0,full_replay,3,0.0,0.0,0.0,1.0,1.0,0.0
0,4,residualized_local_field_poly_rt2,suffix_live_k1,1,suffix,0,0.0,0.0,0.0,1.0,1.0,0.0
0,4,residualized_local_field_poly_rt2,suffix_live_k1,1,suffix,1,0.0,0.0,0.0,1.0,1.0,0.0
0,4,residualized_local_field_poly_rt2,suffix_live_k1,1,suffix,2,0.0,0.0,0.0,1.0,1.0,0.0
0,4,residualized_local_field_poly_rt2,suffix_live_k1,1,suffix,3,0.563160920338784,1.9057338903313823,0.01000845480357632,0.8691815208576008,-0.0121313897174007,0.27807266851003515
0,4,residualized_local_field_poly_rt2,suffix_live_k2,2,suffix,0,0.0,0.0,0.0,1.0,1.0,0.0
0,4,residualized_local_field_poly_rt2,suffix_live_k2,2,suffix,1,0.0,0.0,0.0,1.0,1.0,0.0
0,4,residualized_local_field_poly_rt2,suffix_live_k2,2,suffix,2,1.0861919028187723,1.8289074345188965,0.02735278400929978,0.6717181812157934,0.06908397872209747,0.2632300244873804
0,4,residualized_local_field_poly_rt2,suffix_live_k2,2,suffix,3,1.0863586757276005,1.9066228206807103,0.026908078852399542,0.6716628559573413,-0.013097773511668635,0.5360358462587979
0,4,residualized_local_field_poly_rt2,suffix_live_k3,3,suffix,0,0.0,0.0,0.0,1.0,1.0,0.0
0,4,residualized_local_field_poly_rt2,suffix_live_k3,3,suffix,1,1.5709039963790574,1.9974363819601102,0.0516725721168562,0.5298156154347506,0.12990879887117063,0.2521977893778173
