seed,epoch,candidate_key,handoff_mode,replay_prefix_steps,action_intervention_mode,relative_terminal_action_vector_delta_vs_replay,terminal_action_direction_cosine_similarity_vs_replay,terminal_action_norm_ratio_vs_replay,terminal_action_norm_delta_vs_replay,relative_terminal_bootstrap_target_delta,relative_terminal_identity_target_delta,terminal_lambda_id_delta,terminal_state_slot_displacement_after_action,terminal_next_state_displacement_vs_baseline_replay
0,9,residualized_local_field_poly_rt2,terminal_replay_action_direction_only,3,replay_action_direction_only,0.10247237180670052,1.0,0.9380425790148255,0.06599851983401157,0.0,0.0,0.0,0.2095251288786461,0.016499629958502897
0,9,residualized_local_field_poly_rt2,terminal_replay_action_norm_only,3,replay_action_norm_only,1.4409151823517237,-0.04017432523646108,1.0,2.634797142369345e-17,0.0,0.0,0.0,0.01614787325055178,0.22479212720281652
0,9,residualized_local_field_poly_rt2,terminal_replay_post_action_state_only,3,replay_post_action_state_only,1.3994739067487334,-0.04118412795724359,0.9378485616752122,0.06607854766734493,0.0,0.0,0.0,0.21758125393215058,0.0
0,9,residualized_local_field_poly_rt2,k4_open_loop_baseline_plan_replay,4,full_replay,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10,residualized_local_field_poly_rt2,terminal_live_action_raw,3,live_action_raw,1.4063433320605665,-0.02938233466647519,0.9588224898923252,0.05877749769676087,0.0,0.0,0.0,0.0,0.1915895792559299
0,10,residualized_local_field_poly_rt2,terminal_replay_action_vector_only,3,replay_action_vector_only,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.19121045690281982,0.0
0,10,residualized_local_field_poly_rt2,terminal_replay_action_direction_only,3,replay_action_direction_only,0.10591602096372817,1.0,0.9545077079004507,0.05958759641490792,0.0,0.0,0.0,0.18563995584602927,0.01489689910372698
0,10,residualized_local_field_poly_rt2,terminal_replay_action_norm_only,3,replay_action_norm_only,1.4330848952266058,-0.029368624482230342,1.0,2.2199504139714626e-17,0.0,0.0,0.0,0.014680243167087303,0.19603914664707137
0,10,residualized_local_field_poly_rt2,terminal_replay_post_action_state_only,3,replay_post_action_state_only,1.4035678769418107,-0.029912901868001253,0.9543741756791586,0.059640902453714305,0.0,0.0,0.0,0.19121045690281982,0.0
0,10,residualized_local_field_poly_rt2,k4_open_loop_baseline_plan_replay,4,full_replay,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,11,residualized_local_field_poly_rt2,terminal_live_action_raw,3,live_action_raw,1.4094028327981643,-0.022621519584758804,0.9697620614381905,0.05553753014367759,0.0,0.0,0.0,0.0,0.17150762967112826
0,11,residualized_local_field_poly_rt2,terminal_replay_action_vector_only,3,replay_action_vector_only,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.17116130881285815,0.0
0,11,residualized_local_field_poly_rt2,terminal_replay_action_direction_only,3,replay_action_direction_only,0.11194828995458417,1.0,0.9656048419873093,0.05603325463513511,0.0,0.0,0.0,0.1669485830522259,0.01400831365878378
0,11,residualized_local_field_poly_rt2,terminal_replay_action_norm_only,3,replay_action_norm_only,1.4280724184589721,-0.022629351626931006,1.0,1.7232412586834368e-17,0.0,0.0,0.0,0.013872124617499931,0.17465844194508856
0,11,residualized_local_field_poly_rt2,terminal_replay_post_action_state_only,3,replay_post_action_state_only,1.406567531520198,-0.022871712797835834,0.9654997396135222,0.05607762715789098,0.0,0.0,0.0,0.17116130881285815,0.0
0,11,residualized_local_field_poly_rt2,k4_open_loop_baseline_plan_replay,4,full_replay,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,12,residualized_local_field_poly_rt2,terminal_live_action_raw,3,live_action_raw,1.411761567214688,-0.01937114151202447,0.9765961594538762,0.05317297341475975,0.0,0.0,0.0,0.0,0.15678649091385996
0,12,residualized_local_field_poly_rt2,terminal_replay_action_vector_only,3,replay_action_vector_only,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.15644829229405421,0.0
0,12,residualized_local_field_poly_rt2,terminal_replay_action_direction_only,3,replay_action_direction_only,0.11783865617523266,1.0,0.9723503464996757,0.053556468014575864,0.0,0.0,0.0,0.15299981059839507,0.013389117003643966
0,12,residualized_local_field_poly_rt2,terminal_replay_action_norm_only,3,replay_action_norm_only,1.4255467405880684,-0.019393629995183327,1.0,1.758348757602015e-17,0.0,0.0,0.0,0.013281215246021622,0.1592027867002031
0,12,residualized_local_field_poly_rt2,terminal_replay_post_action_state_only,3,replay_post_action_state_only,1.4087301548029363,-0.019421167417965936,0.9722540783007997,0.05360043563704222,0.0,0.0,0.0,0.15644829229405421,0.0
0,12,residualized_local_field_poly_rt2,k4_open_loop_baseline_plan_replay,4,full_replay,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
